date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:26:37	537/537	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Wed,%2016%20Oct%202019%2002:26:35%20GMT	http://slimhamdi.net/robots.txt		(from )
07:26:38	3054/3054	---M-Z	200	added ('OK')	text/html	date:Wed,%2016%20Oct%202019%2002:26:35%20GMT	http://slimhamdi.net/moscow/	C:/My%20Web%20Sites/Moscow%20-%20Personal%20Portfolio/slimhamdi.net/moscow/index.html	(from )
07:26:38	117317/117317	---M-Z	200	added ('OK')	text/css	date:Sun,%2028%20Oct%202018%2018:27:00%20GMT	http://slimhamdi.net/moscow/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/Moscow%20-%20Personal%20Portfolio/slimhamdi.net/moscow/assets/css/bootstrap.min.css	(from http://slimhamdi.net/moscow/)
07:26:39	1312/1312	---M--	200	added ('OK')	image/png	date:Sun,%2028%20Oct%202018%2018:27:02%20GMT	http://slimhamdi.net/moscow/assets/images/favicon.png	C:/My%20Web%20Sites/Moscow%20-%20Personal%20Portfolio/slimhamdi.net/moscow/assets/images/favicon.png	(from http://slimhamdi.net/moscow/)
07:26:39	2188/2188	---M-Z	200	added ('OK')	text/css	date:Sun,%2028%20Oct%202018%2018:26:59%20GMT	http://slimhamdi.net/moscow/assets/css/style.css	C:/My%20Web%20Sites/Moscow%20-%20Personal%20Portfolio/slimhamdi.net/moscow/assets/css/style.css	(from http://slimhamdi.net/moscow/)
07:26:40	57712/57712	---M-Z	200	added ('OK')	text/html	date:Wed,%2016%20Oct%202019%2002:26:38%20GMT	http://slimhamdi.net/moscow/demos/index-dark.html	C:/My%20Web%20Sites/Moscow%20-%20Personal%20Portfolio/slimhamdi.net/moscow/demos/index-dark.html	(from http://slimhamdi.net/moscow/)
07:26:41	44470/44470	---MC-	200	added ('OK')	text/javascript	date:Mon,%2019%20Aug%202019%2017:22:41%20GMT	https://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/Moscow%20-%20Personal%20Portfolio/www.google-analytics.com/analytics.js	(from http://slimhamdi.net/moscow/)
07:26:41	57695/57695	---M-Z	200	added ('OK')	text/html	date:Wed,%2016%20Oct%202019%2002:26:39%20GMT	http://slimhamdi.net/moscow/demos/index-light.html	C:/My%20Web%20Sites/Moscow%20-%20Personal%20Portfolio/slimhamdi.net/moscow/demos/index-light.html	(from http://slimhamdi.net/moscow/)
07:26:44	35951/35951	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2028%20Oct%202018%2018:27:04%20GMT	http://slimhamdi.net/moscow/assets/js/bootstrap.min.js	C:/My%20Web%20Sites/Moscow%20-%20Personal%20Portfolio/slimhamdi.net/moscow/assets/js/bootstrap.min.js	(from http://slimhamdi.net/moscow/)
07:26:45	537/537	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Wed,%2016%20Oct%202019%2002:26:42%20GMT	http://slimhamdi.net/moscow/assets/fonts/glyphicons-halflings-regular.eot	C:/My%20Web%20Sites/Moscow%20-%20Personal%20Portfolio/slimhamdi.net/moscow/assets/fonts/glyphicons-halflings-regular.a.delayed	(from http://slimhamdi.net/moscow/assets/css/bootstrap.min.css)
07:26:45	537/537	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Wed,%2016%20Oct%202019%2002:26:43%20GMT	http://slimhamdi.net/moscow/assets/fonts/glyphicons-halflings-regular.eot-.htm	C:/My%20Web%20Sites/Moscow%20-%20Personal%20Portfolio/slimhamdi.net/moscow/assets/fonts/glyphicons-halflings-regular.eot-.b.delayed	(from http://slimhamdi.net/moscow/assets/css/bootstrap.min.css)
07:26:46	537/537	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Wed,%2016%20Oct%202019%2002:26:43%20GMT	http://slimhamdi.net/moscow/assets/fonts/glyphicons-halflings-regular.woff2.htm	C:/My%20Web%20Sites/Moscow%20-%20Personal%20Portfolio/slimhamdi.net/moscow/assets/fonts/glyphicons-halflings-regular.woff2.c.delayed	(from http://slimhamdi.net/moscow/assets/css/bootstrap.min.css)
07:26:46	537/537	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Wed,%2016%20Oct%202019%2002:26:44%20GMT	http://slimhamdi.net/moscow/assets/fonts/glyphicons-halflings-regular.woff	C:/My%20Web%20Sites/Moscow%20-%20Personal%20Portfolio/slimhamdi.net/moscow/assets/fonts/glyphicons-halflings-regular.d.delayed	(from http://slimhamdi.net/moscow/assets/css/bootstrap.min.css)
07:26:46	58090/58090	---M--	200	added ('OK')	image/jpeg	date:Sun,%2028%20Oct%202018%2018:27:03%20GMT	http://slimhamdi.net/moscow/assets/images/dark.jpg	C:/My%20Web%20Sites/Moscow%20-%20Personal%20Portfolio/slimhamdi.net/moscow/assets/images/dark.jpg	(from http://slimhamdi.net/moscow/)
